id,title,description,availability,condition,price,link,image_link,brand,product_type,custom_label_0,custom_label_1,custom_label_2
"V107","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: 91348","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V107. Unit: Pcs.","in stock","new","14.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-91348/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V107.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V83","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: 91351","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V83. Unit: Pcs.","in stock","new","18.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-91351/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V83.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V110","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: 91639","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V110. Unit: Pcs.","in stock","new","19.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-91639/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V110.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V103","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: 91978","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V103. Unit: Pcs.","in stock","new","8.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-91978/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V103.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V101","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: 92150","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V101. Unit: Pcs.","in stock","new","23.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-92150/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V101.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V51","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: 92240","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V51. Unit: Pcs.","in stock","new","10.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-92240/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V51.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V104","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: 92355","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V104. Unit: Pcs.","in stock","new","16.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-92355/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V104.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V121","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: V121","Vaultex V121 is a safety spectacle manufactured under EN166F / ANSI Z87.1 standards for Eye protection. The V121 eyewear is created with an impact-resistant polycarbonate lens with 99.9% UV protection that blocks out harmful rays that could damage your eyesight. It comes with a stylish moulded design incorporating a grey half-frame, integrated soft nose bridge for comfort and universal fit, and flexible temple tips to provide extra comfort. SKU: V121. Unit: Pcs.","in stock","new","10.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-v121/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V121.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V181","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: V181","Vaultex V181 is a safety spectacle manufactured by following ANSI Z87.1 standards for Eye protection. V181 is made of a high-quality polycarbonate lens to provide 99.9 % UV protection. It features both anti-scratch coating and Anti-fog properties to give a fog-free view and to prolong the life of the lens. V181 comes in a frameless design with an integrated universal soft nose bridge and an adjustable temple with soft tips for added comfort and durability. SKU: V181. Unit: Pcs.","in stock","new","7.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-v181/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V181.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V191","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: V191","Vaultex V191 safety spectacle is designed with ANSI Z87.1 standard for the professional who requires comfort & protection against high impact. It is built with an impact-resistant polycarbonate lens with 99.9% UV protection to guard your eyes against dangerous UV radiation.It features an anti-scratch coating along with an Anti-fog property that minimises lens fogging. The black half-frame design with an integrated soft nose bridge is associated with Slim Temples that wrap around by making it attractive in appearance. SKU: V191. Unit: Pcs.","in stock","new","10.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-v191/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V191.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V201","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: V201","Vaultex V201 safety spectacle is designed with ANSI Z87.1 standard for the professional who requires comfort & protection against high impact. It is designed with an impact-resistant polycarbonate lens with 99.9% UV protection to guard your eyes against dangerous UV radiation. It comes with an anti-scratch coating along with an Anti-fog property to give optimum visibility along with fog-free while working. The black frame design with a Universal-soft nose bridge associated with Lined Library Temple gives a lightweight & comfortable fit experience for the wearer. SKU: V201. Unit: Pcs.","in stock","new","14.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-v201/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V201.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V702","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: V702","Safety Spectacles from Vaultex are designed to offer the wearer 99.9% protection from harmful UV rays. There are many more features that make this product a must buy. The polycarbonate lens is impact resistant and also anti-fog and anti-scratch. You can wear it to work or on an outing without worrying much. The lens coloured soft spatula type temple looks attractive. SKU: V702. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-v702/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V702.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V72","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: V72","Vaultex V72 is a safety spectacle manufactured by following ANSI Z87.1 standards for Eye protection.It is made of a high-quality impact resistant polycarbonate lens with Anti-fog & anti-scratch coating to provide maximum resistance to scratch & fog. V72 is crafted with a frameless design and comes with a soft spatula pattern temple incorporating Integrated Nose bride which gives comfort & flexibility. SKU: V72. Unit: Pcs.","in stock","new","5.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-v72/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V72.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"KAL","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: V90","Safety Spectacles KAL have a wrap around design that gives the wearer comfort. There are several hazards that can cause short term or long term injury to the eyes. It's best to use Safety Spectacles at the workplace that protect the eyes from any occupational hazards. They are made specifically to meet the workplace safety standards. SKU: KAL. Unit: Pcs.","in stock","new","5.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-v90/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/KAL.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
"V73","Vaultex, Safety Spectacle with Indoor-Outdoor Lens, Part No: V73","Vaultex V73 safety spectacle is designed with ANSI Z87.1 standard for the professional who requires comfort, lightweight eyewear & protection against high impact. It is built with an impact-resistant polycarbonate lens with 99.9% UV protection to guard your eyes against dangerous UV radiation. They feature a frameless design, anti-scratch coating with an integrated soft nose bridge associated with temples that are soft flat spatula type offering a highly Flexible & durable experience. SKU: V73. Unit: Pcs.","in stock","new","4.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-indoor-outdoor-lens-part-no-v73/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V73.png","Xpertone Creative","Eye & Face Protection > Specialty Lens Eyewear","Eye & Face Protection","Specialty Lens Eyewear","Pcs"
"V49","Vaultex, Safety Spectacle with Polarized Lens, Part No: V49","Vaultex V49 is a safety spectacle manufactured in accordance with EN166F / ANSI Z87.1 standards for Eye protection. The V49 eyewear is created with an impact-resistant polycarbonate lens with 99.9% UV protection that blocks out harmful rays that could damage your eyesight. It&rsquo;s constituted with a Brown polarized lens, sleek & flexible Frame & template, Anti-Scratch Coating, Full Frame black to provide support & safety to the wearer while working. In addition, V49 features visual Clarity, precision Flex Hinge, reduces Eye Strain, & Improves Visual Comfort to the wearer. SKU: V49. Unit: Pcs.","in stock","new","25.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-polarized-lens-part-no-v49/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V49.png","Xpertone Creative","Eye & Face Protection > Specialty Lens Eyewear","Eye & Face Protection","Specialty Lens Eyewear","Pcs"
"V01","Vaultex, Safety Spectacle, Brown Lens, Part No: V01","Safety Spectacles V01 have side shields that protect the eye from flying materials to enter the eyes from sides. They protect the eyes from any occupational hazards that can be a potential threat to the eyes. The impact resistant polycarbonate lens with 99.9 % UV Protection protects the eyes from harmful radiation. SKU: V01. Unit: Pcs.","in stock","new","20.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-brown-lens-part-no-v01/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V01.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V02","Vaultex, Safety Spectacle, Part No: V02","Vaultex V02 is a safety spectacle manufactured in accordance with ANSI Z87.1 standards for Eye protection. It is lightweight and comfortable, intended to offer excellent protection to the wearer. The v02 eyewear is created with an impact resistant polycarbonate lens with 99.9% UV protection that blocks out harmful rays that could damage your eyesight.With its sleek & stylish design, it features Anti-Scratch Coating, Black Half Frame, a Black colour temple with soft blue tips along with universal soft nose bridge. SKU: V02. Unit: Pcs.","in stock","new","10.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v02/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V02.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V131","Vaultex, Safety Spectacle, Part No: V131","Vaultex V131 safety spectacle meets all ANSI Z87.1 standards for eye protection. It is made of high-quality material to give you the ultimate protection against impact and scratch. V131 eyewear is designed with a polycarbonate lens to provide 99.9% protection from harmful UV rays. It is built with an anti-scratch coating and Anti-fog property to give fog-free visibility and to increase the life of the lens. Featuring a grey half-frame design comprises Integrated side shields & a nose bridge incorporated with an adjustable Temple With flexible tips embedded in Wrap Around Design for added comfort & durability. SKU: V131. Unit: Pcs.","in stock","new","10.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v131/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V131.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V19","Vaultex, Safety Spectacle, Part No: V19","Vaultex V19 safety spectacle is designed with ANSI Z87.1 standard for the professional who requires comfort & protection against high impact. It features a black frame with a Wrap-around design with a universal soft nose bridge and adjustable temples with flexible tips. The impact-resistant polycarbonate lens features 99.9% UV protection to protect your eyes from dangerous UV radiation. SKU: V19. Unit: Pcs.","in stock","new","9.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v19/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V19.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V30","Vaultex, Safety Spectacle, Part No: V30","Vaultex V30 is a safety spectacle manufactured following ANSI Z87.1 standards for Eye protection. It also provides excellent UV protection to shield your eyes from harmful rays when necessary. V30 Eyewear features a frameless design, impact-resistant polycarbonate lenses with an anti-scratch coating, wide lens coloured ventilated temples to provide comfort and protection. The impact-resistant polycarbonate lens features 99.9% UV protection to protect your eyes from dangerous UV radiation. SKU: V30. Unit: Pcs.","in stock","new","5.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v30/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V30.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V406","Vaultex, Safety Spectacle, Part No: V406","Vaultex V46 safety spectacle meets all ANSI Z87.1 standards for eye protection. It is made of high-quality material to give you the ultimate protection against impact and scratch. V46 eyewear is designed with a polycarbonate lens to provide 99.9% protection from harmful UV rays. Featuring a stylish modern design with Integrated side shields, Wrap Around Design with Brow Bar, Black Half frame, & Adjustable Temple With flexible tips makes it ideal to use in an industrial and manufacturing environment. SKU: V406. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v406/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V406.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V46","Vaultex, Safety Spectacle, Part No: V46","Vaultex V46 safety spectacle meets all ANSI Z87.1 standards for eye protection. It is made of high-quality material to give you the ultimate protection against impact and scratch. V46 eyewear is designed with a polycarbonate lens to provide 99.9% protection from harmful UV rays. Featuring a stylish modern design with Integrated side shields, Wrap Around Design with Brow Bar, Black Half frame, & Adjustable Temple With flexible tips makes it ideal to use in an industrial and manufacturing environment. SKU: V46. Unit: Pcs.","in stock","new","4.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v46/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V46.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V61","Vaultex, Safety Spectacle, Part No: V61","The V61 is a safety spectacle that meets ANSI Z87.1 standards for eye protection. To protect your eyes, they feature a polycarbonate lens with 99.9% UV Protection, anti-scratch coating, Integrated side and top shields, to give a Comfortable & lightweight experience to the wearer. V61 is designed with Black Half Frame, integrated soft nose bridge for comfort and universal-fit, and flexible temple tips for comfort and secure fit. Available in both clear/dark lens combinations. SKU: V61. Unit: Pcs.","in stock","new","9.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v61/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V61.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V69","Vaultex, Safety Spectacle, Part No: V69","Vaultex V69 is a safety spectacle manufactured following EN166F / ANSI Z87.1 standards for Eye protection. The V69 eyewear is created with an impact resistant polycarbonate lens with 99.9% UV protection which prevents harmful ultraviolet radiation from entering your eyes. V69 Lens safety eyewear is designed to be lightweight and comfortable. Featuring an anti-scratch coating, an adjustable blank temple with a nose clip that provides a universal fit and a flexible tip crafted to assure your eyes are well protected when working. SKU: V69. Unit: Pcs.","in stock","new","9.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v69/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V69.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V701","Vaultex, Safety Spectacle, Part No: V701","Safety Spectacles V701 are protective eyewear that are used in hazardous environments and are called PPE equipment. They help the employees working in dangerous environments from hazardous objects. The integrated nose bridge and highly flexible single lens design gives extreme comfort and provides safety from occupational hazards. SKU: V701. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v701/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V701.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V71","Vaultex, Safety Spectacle, Part No: V71","Vaultex V71 is a safety spectacle manufactured in accordance with EN166F / ANSI Z87.1 standards for Eye protection. It consists of impact-resistant polycarbonate lenses with 99.9 % UV protection which prevents harmful ultraviolet radiation from entering your eyes. It features an anti-scratch coating, frameless design with an integrated nose bridge and highly flexible single-lens design which is lightweight and comfortable to wear. V71 is available in clear, Dark & Amber lenses. SKU: V71. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v71/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V71.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V81","Vaultex, Safety Spectacle, Part No: V81","Vaultex&rsquo;s safety spectacle is a must-have product for those who love the outdoors or work in hazardous conditions. It's clear/ dark, impact-resistant polycarbonate lens blocks 99.9% UV rays. It comes with an anti-scratch coating and a frameless design adds to its style. Lens covered soft temples offer comfort. It is a highly flexible single-lens design. Young or old, it is an amazing product for all ages. SKU: V81. Unit: Pcs.","in stock","new","5.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v81/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V81.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V89","Vaultex, Safety Spectacle, Part No: V89","Vaultex V89 is a safety spectacle manufactured in accordance with EN166F / ANSI Z87.1 standards for Eye protection. It consists of impact-resistant polycarbonate lenses with 99.9 % UV protection which prevents harmful ultraviolet radiation from entering your eyes. It features an anti-scratch coating, frameless design with an integrated nose bridge and highly flexible single-lens design which gives support and comfort to wear. SKU: V89. Unit: Pcs.","in stock","new","10.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v89/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V89.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V901","Vaultex, Safety Spectacle, Part No: V901","The highly flexible single lens Safety Spectacle V901 ensures complete protection to the wearer at day and night time. It gives the wearer anti-fog features during harsh climatic conditions. The impact resistant polycarbonate lens with 99.9% UV protection gives the wearer protection during extreme sunlight. The anti-scratch coating on the frameless design makes the spectacles safe. It's also available in colored lenses with a comfortable temple at the soft red tips. SKU: V901. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v901-1/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V901.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V91","Vaultex, Safety Spectacle, Part No: V91","Safety spectacle from Vaultex is a must-have product for the millennial generation. Its clear or dark lens adds to one&rsquo;s appearance. The product features impact resistant polycarbonate lens with 99.9 % UV protection. Anti-scratch and frameless design are some more attractive features of this product. The temple is lens coloured with soft red tips. SKU: V91. Unit: Pcs.","in stock","new","5.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v91-1/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V91.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"AFC","Zecchin, Safety Spectacle with Anti Scratch & Anti Fog Coating, Part No: E-306","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: AFC. Unit: Pcs.","in stock","new","8.00 AED","https://www.xpertonecreative.com/products/zecchin-safety-spectacle-with-anit-scratch-anit-fog-coating-part-no-e-306/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/AFC.png","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
